hip_number,ra_deg,dec_deg,light_year,vmag
32349,101.2885411,-16.71314306,8.596819704,-1.44
30438,95.98787763,-52.69571799,312.5599233,-0.62
69673,213.918114,19.18726997,36.69105234,-0.05
71683,219.9204103,-60.83514707,4.392820568,-0.01
91262,279.2341083,38.78299311,25.28503839,0.03
24608,79.17206517,45.99902927,42.17880709,0.08
24436,78.63446353,-8.20163919,772.5118483,0.18
37279,114.8272419,5.22750767,11.40139195,0.4
7588,24.42813204,-57.23666007,143.7389771,0.45
27989,88.79287161,7.40703634,427.2608126,0.45
68702,210.956019,-60.3729784,524.9597424,0.61
97649,297.6945086,8.86738491,16.76609751,0.76
60718,186.6497559,-63.09905586,320.5506391,0.77
21421,68.98000195,16.50976164,65.08285087,0.87
65474,201.2983523,-11.16124491,262.0578778,0.98
80763,247.351948,-26.43194608,603.7037037,1.06
37826,116.3306826,28.02631031,33.6985735,1.16
113368,344.4117732,-29.62183701,25.06150062,1.17
62434,191.9304954,-59.68873246,352.4324324,1.25
102098,310.3579727,45.28033423,3227.722772,1.25
71681,219.9141283,-60.83947139,4.392820568,1.35
49669,152.0935808,11.96719513,77.45307674,1.36
33579,104.6564445,-28.97208931,430.6472919,1.5
36850,113.650019,31.88863645,51.52520942,1.58
61084,187.791372,-57.11256922,87.89431114,1.59
85927,263.4021937,-37.10374835,702.5862069,1.62
25336,81.28278416,6.34973451,242.9210134,1.64
25428,81.57290804,28.60787346,130.9762957,1.65
45238,138.3010033,-69.71747245,111.1111111,1.67
26311,84.05338572,-1.20191725,1341.563786,1.69
109268,332.0578184,-46.96061593,101.3681592,1.73
26727,85.18968672,-1.94257841,817.0426065,1.74
39953,122.3831473,-47.33661177,840.2061856,1.75
62956,193.5068041,55.95984301,80.89330025,1.76
15863,51.08061889,49.86124281,591.6515426,1.79
90185,276.0431097,-34.3843146,144.5676275,1.79
54061,165.9326537,61.75111888,123.5784685,1.81
34444,107.0978585,-26.39320776,1791.208791,1.83
67301,206.8856088,49.31330288,100.6483483,1.85
86228,264.3296907,-42.99782155,271.8932444,1.86
41037,125.628603,-59.50953829,631.7829457,1.86
28360,89.88237261,44.94743492,82.07452165,1.9
82273,252.1661074,-69.02763503,415.2866242,1.91
31681,99.42792641,16.39941482,104.7557841,1.93
42913,131.1758221,-54.70856797,79.70660147,1.93
100751,306.4118735,-56.73488071,183.1460674,1.94
11767,37.94614689,89.26413805,431.2169312,1.97
30324,95.6749475,-17.95591658,499.2343032,1.98
46390,141.8968826,-8.65868335,177.173913,1.99
9884,31.79285757,23.46277743,65.88520614,2.01
50583,154.9923405,19.84186032,125.577812,2.01
3419,10.89678452,-17.9866841,95.76968273,2.04
92855,283.8163196,-26.29659428,224.2090784,2.05
68933,211.6721861,-36.36869575,60.91180867,2.06
27366,86.93911641,-9.66960186,721.2389381,2.07
72607,222.6766475,74.15547596,126.4055836,2.07
5447,17.43248991,35.62083048,199.2665037,2.07
112122,340.6663953,-46.88456594,170.0573813,2.07
677,2.09653333,29.09082805,97.02380952,2.07
86032,263.7333532,12.56057584,46.67812142,2.08
14576,47.04220716,40.9556512,92.77177006,2.09
9640,30.97466283,42.32984832,354.7334059,2.1
57632,177.2661598,14.57233687,36.15794144,2.14
4427,14.17708808,60.71674966,612.7819549,2.15
61932,190.3800208,-48.95988553,130.3478609,2.2
45556,139.2726183,-59.27526115,692.1443737,2.21
39429,120.8961256,-40.00318846,1399.141631,2.21
76267,233.6716229,26.71491041,74.68499427,2.22
44816,136.9990713,-43.43262406,572.9349736,2.23
65378,200.980916,54.92541525,78.12125569,2.23
100453,305.5570835,40.2566815,1523.364486,2.23
87833,269.1515744,51.48895101,147.5113122,2.24
3179,10.12661349,56.53740928,228.4512964,2.24
25930,83.00166562,-0.2990934,915.7303371,2.25
746,2.29204036,59.15021814,54.4331274,2.28
66657,204.9719696,-53.46636269,375.5760369,2.29
82396,252.5426874,-34.29260982,65.39618857,2.29
78401,240.0833823,-22.62162024,401.4778325,2.29
71860,220.482391,-47.38814127,547.8991597,2.3
71352,218.8768816,-42.15774562,308.4200568,2.33
53910,165.4599615,56.38234478,79.37667397,2.34
72105,221.2468787,27.07417383,209.6463023,2.35
107315,326.0464181,9.87500791,672.1649485,2.38
86670,265.6219991,-39.02992092,463.7268848,2.39
